Place,P1
Poha Goan Style Goa,Food and Snacks
Makke Ki Roti Sarson Ka Saag Punjab,Food and Snacks
Undhiyu Gujarat,Food and Snacks
Ghevar Rajasthan,Food and Snacks
Kedarnath Uttarakhand,Religious
Jagannath Puri Odisha,Religious
Rishikesh Uttarakhand,Religious
Golden Temple Amritsar,Religious
Vaishno Devi Jammu and Kashmir,Religious
Sarnath Uttar Pradesh,Religious
Tirupati Andhra Pradesh,Religious
Mahabodhi Temple Bihar,Religious
Somnath Gujarat,Religious
Badrinath Uttarakhand,Religious
Ajmer Sharif Rajasthan,Religious
Rameswaram Tamil Nadu,Religious
Harmandir Sahib Punjab,Religious
Shirdi Maharashtra,Religious
Bodhi Tree Bihar,Religious
Kashi Vishwanath Varanasi,Religious
Dwarkadhish Temple Gujarat,Religious
Hemkund Sahib Uttarakhand,Religious
Kamakhya Temple Assam,Religious
Pandharpur Vithoba Maharashtra,Religious
Sabarimala Kerala,Religious
Bodh Gaya Bihar,Religious
Jyotirlinga at Somnath Gujarat,Religious
Jagatpita Brahma Mandir Rajasthan,Religious
Guruvayur Temple Kerala,Religious
Kailash Mansarovar Tibet (near India),Religious
Palitana Temples Gujarat,Religious
Thiruvannamalai Tamil Nadu,Religious
Dakshineswar Kali Temple West Bengal,Religious
Sai Baba Samadhi Shirdi,Religious
Rishikund Uttarakhand,Religious
Koti Tirtha Uttarakhand,Religious
Shree Padmanabhaswamy Temple Kerala,Religious
Chottanikkara Devi Temple Kerala,Religious
Kalighat Kali Temple West Bengal,Religious
Yamunotri Yamunotri,Religious
Shani Shingnapur Maharashtra,Religious
Parasnath Temple Jharkhand,Religious
Tulja Bhavani Temple Maharashtra,Religious
Gangotri Gangotri,Religious
Ranganatha Swamy Temple Tamil Nadu,Religious
Sanchi Stupa Madhya Pradesh,Religious
Siddhivinayak Temple Mumbai,Religious
Bhagwan Bahubali Statue Karnataka,Religious
Parikrama of Govardhan Hill Uttar Pradesh,Religious
Koti Lingas Kashi,Religious
Ratnagiri Jharkhand,Religious
Bhalka Tirth Gujarat,Religious
Raghunath Temple Jammu and Kashmir,Religious
Chennakesava Temple Karnataka,Religious
Santiniketan West Bengal,Religious
Bhairon Temple Jammu and Kashmir,Religious
Manikaran Sahib Himachal Pradesh,Religious
Ranakpur Jain Temple Rajasthan,Religious
Harsiddhi Mata Temple Madhya Pradesh,Religious
Baba Ramdev Temple Rajasthan,Religious
Mahakaleshwar Jyotirlinga Madhya Pradesh,Religious
Puri Jagannath Rath Yatra Odisha,Religious
Neelkanth Mahadev Uttarakhand,Religious
Shankaracharya Temple Jammu and Kashmir,Religious
Umananda Temple Assam,Religious
Khandoba Temple Maharashtra,Religious
Kanyakumari Temple Tamil Nadu,Religious
Kedarnath Mandir Uttarakhand,Religious
Jambukeswarar Temple Tamil Nadu,Religious
Akshardham Temple Delhi,Religious
Markandeya Temple Maharashtra,Religious
Sachiya Mata Temple Rajasthan,Religious
Shravanabelagola Karnataka,Religious
Yercaud Temple Tamil Nadu,Religious
Baijnath Temple Himachal Pradesh,Religious
Bhuleshwar Temple Maharashtra,Religious
Chamundeshwari Temple Karnataka,Religious
Dudhsagar Waterfalls Goa,Religious
Kailasanathar Temple Tamil Nadu,Religious
Karkala Gomateshwara Karnataka,Religious
Konark Sun Temple Odisha,Religious
Lakshmi Narayan Temple Delhi,Religious
Lingaraj Temple Odisha,Religious
Meenakshi Amman Temple Tamil Nadu,Religious
Naina Devi Himachal Pradesh,Religious
Pashupatinath Temple Nepal (near India),Religious
Prayagraj Triveni Sangam Uttar Pradesh,Religious
Tirumala Tirupati Andhra Pradesh,Religious
Trimbakeshwar Jyotirlinga Maharashtra,Religious
Udupi Krishna Temple Karnataka,Religious
Vitthal Temple Pandharpur,Religious
Vrindavan Uttar Pradesh,Religious
Amarnath Cave Jammu and Kashmir,Religious
Girnar Temples Gujarat,Religious
Har Ki Pauri Uttarakhand,Religious
Jyotirlinga at Kedarnath Uttarakhand,Religious
Akshar Deri Gujarat,Religious
Rukmini Devi Temple Rajasthan,Religious
Saptaparni Cave Jharkhand,Religious
Siddheshwar Temple Maharashtra,Religious
Sri Ranganatha Swamy Temple Karnataka,Religious
Sun Temple Konark Odisha,Religious
Tawang Monastery Arunachal Pradesh,Religious
Tiruchendur Murugan Temple Tamil Nadu,Religious
Vaishno Devi Temple Jammu and Kashmir,Religious
Virupaksha Temple Karnataka,Religious
Wat Thai Temple Uttarakhand,Religious
Yamunotri Temple Yamunotri,Religious
Lakshmana Temple Madhya Pradesh,Religious
Kailash Temple Ellora Maharashtra,Religious
Sri Kalahasti Temple Andhra Pradesh,Religious
Bir Billing Himachal Pradesh,Adventure
Spiti Valley Himachal Pradesh,Adventure
Leh-Ladakh Jammu and Kashmir,Adventure
Rann of Kutch Gujarat,Adventure
Paragliding in Kamshet Maharashtra,Adventure
Andaman and Nicobar Islands,Adventure
Dandeli Karnataka,Adventure
Jim Corbett National Park Uttarakhand,Adventure
Rafting in Rishikesh Uttarakhand,Adventure
Valley of Flowers Uttarakhand,Adventure
Roopkund Trek Uttarakhand,Adventure
Gir National Park Gujarat,Adventure
Zanskar Valley Jammu and Kashmir,Adventure
Diving in Lakshadweep Lakshadweep,Adventure
Manali Himachal Pradesh,Adventure
Trek to Triund Himachal Pradesh,Adventure
Goa Beaches Goa,Adventure
Rajaji National Park Uttarakhand,Adventure
Nubra Valley Jammu and Kashmir,Adventure
Kodaikanal Tamil Nadu,Adventure
Bandipur National Park Karnataka,Adventure
Skiing in Auli Uttarakhand,Adventure
Trek to Sandakphu West Bengal,Adventure
Trek to Goecha La Sikkim,Adventure
Bungee Jumping in Rishikesh Uttarakhand,Adventure
Coracle Ride in Hampi Karnataka,Adventure
Bhandardara Maharashtra,Adventure
Meghalaya Caves Meghalaya,Adventure
Caving in Arwah Cave Mizoram,Adventure
Trek to Kheerganga Himachal Pradesh,Adventure
White Water Rafting in Coorg Karnataka,Adventure
Chadar Trek Ladakh,Adventure
Wildlife Safari in Kaziranga Assam,Adventure
Scuba Diving in Andaman and Nicobar Islands,Adventure
Mountain Biking in Manali Himachal Pradesh,Adventure
Parasailing in Goa Goa,Adventure
Rann Utsav Gujarat,Adventure
Dudhsagar Waterfall Trek Goa,Adventure
Rock Climbing in Hampi Karnataka,Adventure
Hang Gliding in Kamshet Maharashtra,Adventure
Trek to Har Ki Dun Uttarakhand,Adventure
Camping in Pushkar Rajasthan,Adventure
Snorkeling in Lakshadweep Lakshadweep,Adventure
Caving in Meghalaya Meghalaya,Adventure
Bir Adventure Paragliding Himachal Pradesh,Adventure
Skiing in Gulmarg Jammu and Kashmir,Adventure
River Rafting in Tawang Arunachal Pradesh,Adventure
Elephant Safari in Jim Corbett National Park Uttarakhand,Adventure
Trek to Chandrashila Uttarakhand,Adventure
Microlight Flying in Jakkur Karnataka,Adventure
Dhanushkodi Beach Trek Tamil Nadu,Adventure
Trek to Torna Fort Maharashtra,Adventure
Horse Riding in Spiti Valley Himachal Pradesh,Adventure
Wildlife Safari in Bandipur National Park Karnataka,Adventure
Bhagirathi River Rafting Uttarakhand,Adventure
Cycling in Leh-Ladakh Jammu and Kashmir,Adventure
Rock Climbing in Badami Karnataka,Adventure
Trek to Roopkund Uttarakhand,Adventure
Hot Air Ballooning in Pushkar Rajasthan,Adventure
Trek to Valley of Flowers Uttarakhand,Adventure
Skydiving in Mysuru Karnataka,Adventure
Waterfall Rappelling in Dudhsagar Goa,Adventure
Bungee Jumping in Lonavala Maharashtra,Adventure
Skiing in Solang Valley Himachal Pradesh,Adventure
Mountain Biking in Rann of Kutch Gujarat,Adventure
Trek to Hampta Pass Himachal Pradesh,Adventure
Parasailing in Varkala Kerala,Adventure
Hot Air Ballooning in Jaipur Rajasthan,Adventure
River Rafting in Teesta River Sikkim,Adventure
Camping in Rishikesh Uttarakhand,Adventure
Trek to Deoria Tal Uttarakhand,Adventure
Motorbiking in Ladakh Jammu and Kashmir,Adventure
Zip Lining in Neemrana Rajasthan,Adventure
Cycling in Wayanad Kerala,Adventure
Trek to Kalsubai Peak Maharashtra,Adventure
Rock Climbing in Shey Rock Ladakh,Adventure
White Water Rafting in Zanskar River Jammu and Kashmir,Adventure
Snow Leopard Trek Himachal Pradesh,Adventure
Caving in Belum Caves Andhra Pradesh,Adventure
Trek to Sandhan Valley Maharashtra,Adventure
River Crossing in Manali Himachal Pradesh,Adventure
Trek to Dodital Uttarakhand,Adventure
Scuba Diving in Malvan Maharashtra,Adventure
Cycling in Spiti Valley Himachal Pradesh,Adventure
Trek to Rajmachi Fort Maharashtra,Adventure
River Rafting in Alaknanda River Uttarakhand,Adventure
Hang Gliding in Bir Billing Himachal Pradesh,Adventure
Pangong Lake Ladakh,Scenic or Photography
Munnar Kerala,Scenic or Photography
Khajjiar Himachal Pradesh,Scenic or Photography
Hampi Karnataka,Scenic or Photography
Kausani Uttarakhand,Scenic or Photography
Dzukou Valley Nagaland,Scenic or Photography
Pangong Tso Jammu and Kashmir,Scenic or Photography
Athirappilly Falls Kerala,Scenic or Photography
Chitkul Himachal Pradesh,Scenic or Photography
Valparai Tamil Nadu,Scenic or Photography
Nanda Devi Uttarakhand,Scenic or Photography
Gurudongmar Lake Sikkim,Scenic or Photography
Panchgani Maharashtra,Scenic or Photography
Agumbe Karnataka,Scenic or Photography
Chilika Lake Odisha,Scenic or Photography
Tungnath Uttarakhand,Scenic or Photography
Nohkalikai Falls Meghalaya,Scenic or Photography
Dawki River Meghalaya,Scenic or Photography
Pelling Sikkim,Scenic or Photography
Gavi Kerala,Scenic or Photography
Loktak Lake Manipur,Scenic or Photography
Mararikulam Kerala,Scenic or Photography
Auli Uttarakhand,Scenic or Photography
Taj Mahal Uttar Pradesh,Scenic or Photography
Dal Lake Jammu and Kashmir,Scenic or Photography
Gangtok Sikkim,Scenic or Photography
Ooty Tamil Nadu,Scenic or Photography
Ladakh Jammu and Kashmir,Scenic or Photography
Matheran Maharashtra,Scenic or Photography
Pushkar Rajasthan,Scenic or Photography
Darjeeling West Bengal,Scenic or Photography
Panchmarhi Madhya Pradesh,Scenic or Photography
Kanyakumari Tamil Nadu,Scenic or Photography
Gokarna Karnataka,Scenic or Photography
Hogenakkal Falls Tamil Nadu,Scenic or Photography
Magnetic Hill Ladakh,Scenic or Photography
Arunachal Pradesh,Scenic or Photography
Kaziranga National Park Assam,Scenic or Photography
Sundarbans West Bengal,Scenic or Photography
Gir Forest National Park Gujarat,Scenic or Photography
Himalayan National Park Himachal Pradesh,Scenic or Photography
Khangchendzonga National Park Sikkim,Scenic or Photography
Keoladeo National Park Rajasthan,Scenic or Photography
Periyar National Park Kerala,Scenic or Photography
Lakshadweep Islands,Scenic or Photography
Hemis Monastery Ladakh,Scenic or Photography
Srinagar Jammu and Kashmir,Scenic or Photography
Pahalgam Jammu and Kashmir,Scenic or Photography
Nainital Uttarakhand,Scenic or Photography
Kochi Kerala,Scenic or Photography
Agra Fort Uttar Pradesh,Scenic or Photography
Auroville Tamil Nadu,Scenic or Photography
Elephanta Caves Maharashtra,Scenic or Photography
Khajuraho Madhya Pradesh,Scenic or Photography
Manas National Park Assam,Scenic or Photography
Kovalam Beach Kerala,Scenic or Photography
Kasol Himachal Pradesh,Scenic or Photography
Havelock Island Andaman and Nicobar Islands,Scenic or Photography
Wayanad Kerala,Scenic or Photography
Mandu Madhya Pradesh,Scenic or Photography
Ziro Arunachal Pradesh,Scenic or Photography
Malshej Ghat Maharashtra,Scenic or Photography
Gurez Valley Jammu and Kashmir,Scenic or Photography
Kalpetta Kerala,Scenic or Photography
Kurseong West Bengal,Scenic or Photography
Dharamshala Himachal Pradesh,Scenic or Photography
Shimla Himachal Pradesh,Scenic or Photography
Rajgir Bihar,Scenic or Photography
Chamera Lake Himachal Pradesh,Scenic or Photography
Mount Abu Rajasthan,Scenic or Photography
Jaisalmer Rajasthan,Scenic or Photography
Lachen Sikkim,Scenic or Photography
Lonavala Maharashtra,Scenic or Photography
Tawang Arunachal Pradesh,Scenic or Photography
Almora Uttarakhand,Scenic or Photography
Sunderbans West Bengal,Scenic or Photography
Gulmarg Jammu and Kashmir,Scenic or Photography
Mahabaleshwar Maharashtra,Scenic or Photography
Lepchajagat West Bengal,Scenic or Photography
Sisupalgarh Odisha,Scenic or Photography
Chikmagalur Karnataka,Scenic or Photography
Hassan Karnataka,Scenic or Photography
Zuluk Sikkim,Scenic or Photography
Mandawa Rajasthan,Scenic or Photography
Tirthan Valley Himachal Pradesh,Scenic or Photography
Malana Himachal Pradesh,Scenic or Photography
Mawlynnong Meghalaya,Scenic or Photography
Bhedaghat Madhya Pradesh,Scenic or Photography
Kumarakom Kerala,Scenic or Photography
Halebid Karnataka,Scenic or Photography
Maheshwar Madhya Pradesh,Scenic or Photography
Chitrakoot Madhya Pradesh,Scenic or Photography
Jaipur Rajasthan,History and Culture
Varanasi Uttar Pradesh,History and Culture
Mysore Karnataka,History and Culture
Fatehpur Sikri Uttar Pradesh,History and Culture
Ajanta and Ellora Caves Maharashtra,History and Culture
Mahabalipuram Tamil Nadu,History and Culture
Delhi,History and Culture
Agra Uttar Pradesh,History and Culture
Ellora Caves Maharashtra,History and Culture
Udaipur Rajasthan,History and Culture
Kolkata West Bengal,History and Culture
Ranakpur Rajasthan,History and Culture
Kanchipuram Tamil Nadu,History and Culture
Madurai Tamil Nadu,History and Culture
Khimsar Rajasthan,History and Culture
Thanjavur Tamil Nadu,History and Culture
Belur Karnataka,History and Culture
Pattadakal Karnataka,History and Culture
Bishnupur West Bengal,History and Culture
Warangal Telangana,History and Culture
Badami Karnataka,History and Culture
Gwalior Fort Madhya Pradesh,History and Culture
Puri Odisha,History and Culture
Bikaner Rajasthan,History and Culture
Orchha Madhya Pradesh,History and Culture
Bhuj Gujarat,History and Culture
Srirangapatna Karnataka,History and Culture
Ajmer Rajasthan,History and Culture
Mamallapuram Tamil Nadu,History and Culture
Aihole Karnataka,History and Culture
Pandharpur Maharashtra,History and Culture
Chittorgarh Rajasthan,History and Culture
Amritsar Punjab,History and Culture
Vadodara Gujarat,History and Culture
Kumbhalgarh Rajasthan,History and Culture
Tanjore Tamil Nadu,History and Culture
Dwarka Gujarat,History and Culture
Kurukshetra Haryana,History and Culture
Champaner-Pavagadh Gujarat,History and Culture
Bidar Karnataka,History and Culture
Kangra Himachal Pradesh,History and Culture
Ferozepur Punjab,History and Culture
Jaipur Rajasthan,Local Interaction
Varanasi Uttar Pradesh,Local Interaction
Amritsar Punjab,Local Interaction
Jaipur Rajasthan,Local Interaction
Udaipur Rajasthan,Local Interaction
Jodhpur Rajasthan,Local Interaction
Haridwar Uttarakhand,Local Interaction
Pushkar Rajasthan,Local Interaction
Kolkata West Bengal,Local Interaction
Mysore Karnataka,Local Interaction
Rishikesh Uttarakhand,Local Interaction
Varanasi Uttar Pradesh,Local Interaction
Goa,Local Interaction
Delhi,Local Interaction
Mumbai Maharashtra,Local Interaction
Agra Uttar Pradesh,Local Interaction
Kochi Kerala,Local Interaction
Puri Odisha,Local Interaction
Shillong Meghalaya,Local Interaction
Chandigarh,Local Interaction
Lucknow Uttar Pradesh,Local Interaction
Jaisalmer Rajasthan,Local Interaction
Mysore Karnataka,Local Interaction
Trivandrum Kerala,Local Interaction
Bhopal Madhya Pradesh,Local Interaction
Ranchi Jharkhand,Local Interaction
Tiruchirapalli Tamil Nadu,Local Interaction
Kanpur Uttar Pradesh,Local Interaction
Madurai Tamil Nadu,Local Interaction
Guwahati Assam,Local Interaction
Kolkata West Bengal,Local Interaction
Jaipur Rajasthan,Local Interaction
Bhopal Madhya Pradesh,Local Interaction
Amritsar Punjab,Local Interaction
Vadodara Gujarat,Local Interaction
Jaisalmer Rajasthan,Local Interaction
Rishikesh Uttarakhand,Local Interaction
Varanasi Uttar Pradesh,Local Interaction
Mysuru Karnataka,Local Interaction
Pondicherry,Local Interaction
Kochi Kerala,Local Interaction
Madurai Tamil Nadu,Local Interaction
Shillong Meghalaya,Local Interaction
Bhubaneswar Odisha,Local Interaction
Aurangabad Maharashtra,Local Interaction
Lucknow Uttar Pradesh,Local Interaction
Rajkot Gujarat,Local Interaction
Vellore Tamil Nadu,Local Interaction
Kozhikode Kerala,Local Interaction
Siliguri West Bengal,Local Interaction
Trichy Tamil Nadu,Local Interaction
Panaji Goa,Local Interaction
Srinagar Jammu and Kashmir,Local Interaction
Kanpur Uttar Pradesh,Local Interaction
Dhanbad Jharkhand,Local Interaction
Jamshedpur Jharkhand,Local Interaction
Tirunelveli Tamil Nadu,Local Interaction
Ujjain Madhya Pradesh,Local Interaction
Gandhinagar Gujarat,Local Interaction
Ratnagiri Maharashtra,Local Interaction
Visakhapatnam Andhra Pradesh,Local Interaction
Warangal Telangana,Local Interaction
Nagpur Maharashtra,Local Interaction
Dibrugarh Assam,Local Interaction
Gwalior Madhya Pradesh,Local Interaction
Ranchi Jharkhand,Local Interaction
Tirupati Andhra Pradesh,Local Interaction
Nashik Maharashtra,Local Interaction
Dehradun Uttarakhand,Local Interaction
Jamnagar Gujarat,Local Interaction
Mathura Uttar Pradesh,Local Interaction
Rajahmundry Andhra Pradesh,Local Interaction
Tirupur Tamil Nadu,Local Interaction
Jalandhar Punjab,Local Interaction
Ujjain Madhya Pradesh,Local Interaction
Kochi Kerala,Local Interaction
Guntur Andhra Pradesh,Local Interaction
Salem Tamil Nadu,Local Interaction
Gorakhpur Uttar Pradesh,Local Interaction
Bhilai Chhattisgarh,Local Interaction
Tumkur Karnataka,Local Interaction
Rohtak Haryana,Local Interaction
Durgapur West Bengal,Local Interaction
Aligarh Uttar Pradesh,Local Interaction
Jhansi Uttar Pradesh,Local Interaction
Gulbarga Karnataka,Local Interaction
Jammu Jammu and Kashmir,Local Interaction
Aizawl Mizoram,Local Interaction
Imphal Manipur,Local Interaction
Bokaro Steel City Jharkhand,Local Interaction

